PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
PRESTON LAKE TWP.	Preston Lake Twp	Renville	153	107	42	151	70.86	27.81	43
REDWOOD FALLS	Redwood Falls	Renville	0	0	0	0			
RENVILLE	Renville	Renville	561	256	289	559	45.8	51.7	-6
SACRED HEART	Sacred Heart	Renville	225	71	145	224	31.7	64.73	-33
SACRED HEART TWP.	Sacred Heart Twp	Renville	161	70	85	160	43.75	53.13	-9
TROY TWP.	Troy Twp	Renville	152	83	69	152	54.61	45.39	9
WANG TWP.	Wang Twp	Renville	156	75	79	155	48.39	50.97	-3
WELLINGTON TWP.	Wellington Twp	Renville	104	76	25	102	74.51	24.51	50
WINFIELD TWP.	Winfield Twp	Renville	133	74	57	133	55.64	42.86	13
BRIDGEWATER TWP.	Bridgewater Twp	Rice	1176	544	590	1170	46.5	50.43	-4
CANNON CITY TWP.	Cannon City Twp	Rice	735	423	291	732	57.79	39.75	18
DENNISON CITY	Dennison	Rice	10	4	6	10	40	60	-20
DUNDAS	Dundas	Rice	754	365	366	750	48.67	48.8	0
ERIN TWP.	Erin Twp	Rice	497	290	200	497	58.35	40.24	18
FARIBAULT P-1	Faribault	Rice	1826	871	903	1810	48.12	49.89	-2
FARIBAULT P-2	Faribault	Rice	2092	921	1099	2080	44.28	52.84	-9
FARIBAULT P-3	Faribault	Rice	2821	1228	1505	2804	43.79	53.67	-10
FARIBAULT P-4	Faribault	Rice	2512	1089	1350	2497	43.61	54.06	-10
FOREST TWP.	Forest Twp	Rice	781	453	312	779	58.15	40.05	18
LONSDALE CITY	Lonsdale	Rice	1867	1160	653	1863	62.27	35.05	27
MORRISTOWN	Morristown	Rice	472	233	215	467	49.89	46.04	4
MORRISTOWN TWP.	Morristown Twp	Rice	400	275	119	399	68.92	29.82	39
NERSTRAND	Nerstrand	Rice	155	83	62	153	54.25	40.52	14
NORTHFIELD W-1 P-1	Northfield	Rice	1154	95	1003	1145	8.3	87.6	-79
NORTHFIELD W-1 P-2	Northfield	Rice	2054	733	1285	2050	35.76	62.68	-27
NORTHFIELD W-2 P-1	Northfield	Rice	1347	529	778	1344	39.36	57.89	-19
NORTHFIELD W-2 P-2	Northfield	Rice	1519	609	861	1509	40.36	57.06	-17
NORTHFIELD W-3 P-1	Northfield	Rice	1601	494	1075	1598	30.91	67.27	-36
NORTHFIELD W-4 P-1	Northfield	Rice	1382	304	1032	1375	22.11	75.05	-53
NORTHFIELD W-4 P-2	Northfield	Rice	1393	266	1051	1388	19.16	75.72	-57
NORTHFIELD TWP.	Northfield Twp	Rice	516	271	235	515	52.62	45.63	7
RICHLAND TWP.	Richland Twp	Rice	232	134	88	230	58.26	38.26	20
SHIELDSVILLE TWP.	Shieldsville Twp	Rice	669	369	283	664	55.57	42.62	13
WALCOTT TWP.	Walcott Twp	Rice	570	320	229	567	56.44	40.39	16
WARSAW TWP.	Warsaw Twp	Rice	772	469	282	771	60.83	36.58	24
WEBSTER TWP. P-1	Webster Twp	Rice	522	314	194	522	60.15	37.16	23
WEBSTER TWP. P-2	Webster Twp	Rice	591	357	220	588	60.71	37.41	23
WELLS TWP.	Wells Twp	Rice	933	533	380	930	57.31	40.86	16
WHEATLAND TWP.	Wheatland Twp	Rice	740	470	248	739	63.6	33.56	30
WHEELING TWP.	Wheeling Twp	Rice	322	178	139	321	55.45	43.3	12
BATTLE PLAIN TWP	Battle Plain Twp	Rock	89	75	13	88	85.23	14.77	70
BEAVER CREEK	Beaver Creek	Rock	153	94	56	153	61.44	36.6	25
BEAVER CREEK TWP	Beaver Creek Twp	Rock	207	133	69	206	64.56	33.5	31
CLINTON TWP	Clinton Twp	Rock	147	111	33	146	76.03	22.6	53
DENVER TWP	Denver Twp	Rock	83	53	28	82	64.63	34.15	30
HARDWICK	Hardwick	Rock	86	38	45	86	44.19	52.33	-8
HILLS	Hills	Rock	344	235	100	343	68.51	29.15	39
JASPER	Jasper	Rock	26	8	18	26	30.77	69.23	-38
KANARANZI TWP	Kanaranzi Twp	Rock	130	82	47	130	63.08	36.15	27
KENNETH	Kenneth	Rock	28	16	11	28	57.14	39.29	18
LUVERNE W-1 NE	Luverne	Rock	1047	518	511	1043	49.66	48.99	1
LUVERNE W-1 NW	Luverne	Rock	327	175	145	326	53.68	44.48	9
LUVERNE W-2 SE	Luverne	Rock	712	339	353	711	47.68	49.65	-2
LUVERNE W-2 SW	Luverne	Rock	310	166	134	305	54.43	43.93	11
LUVERNE TWP P1	Luverne Twp	Rock	129	93	34	129	72.09	26.36	46
LUVERNE TWP P2	Luverne Twp	Rock	149	98	40	139	70.5	28.78	42
MAGNOLIA CITY	Magnolia	Rock	68	27	36	68	39.71	52.94	-13
MAGNOLIA TWP	Magnolia Twp	Rock	112	63	49	112	56.25	43.75	13
MARTIN TWP	Martin Twp	Rock	221	178	41	221	80.54	18.55	62
MOUND TWP	Mound Twp	Rock	118	66	50	118	55.93	42.37	14
ROSE DELL TWP	Rose Dell Twp	Rock	99	59	36	99	59.6	36.36	23
SPRINGWATER TWP	Springwater Twp	Rock	124	88	35	124	70.97	28.23	43
STEEN	Steen	Rock	73	44	25	73	60.27	34.25	26
VIENNA TWP	Vienna Twp	Rock	92	51	37	90	56.67	41.11	16
BADGER	Badger	Roseau	190	112	73	189	59.26	38.62	21
BARNETT TOWNSHIP	Barnett Twp	Roseau	68	40	27	67	59.7	40.3	19
BARTO TOWNSHIP	Barto Twp	Roseau	83	52	27	82	63.41	32.93	30
BEAVER TOWNSHIP	Beaver Twp	Roseau	50	24	23	48	50	47.92	2
CEDARBEND TOWNSHIP	Cedarbend Twp	Roseau	80	50	27	78	64.1	34.62	29
CLEAR RIVER/OAKS UNORG	Clear River / Oaks Unorganized	Roseau	66	37	27	66	56.06	40.91	15
DEER TOWNSHIP	Deer Twp	Roseau	65	42	22	64	65.63	34.38	31
DEWEY TOWNSHIP	Dewey Twp	Roseau	67	39	25	65	60	38.46	22
DIETER TOWNSHIP	Dieter Twp	Roseau	80	52	24	78	66.67	30.77	36
ENSTROM TOWNSHIP	Enstrom Twp	Roseau	213	117	88	210	55.71	41.9	14
FALUN TOWNSHIP	Falun Twp	Roseau	147	77	63	143	53.85	44.06	10
GOLDEN VALLEY TOWNSHIP	Golden Valley Twp	Roseau	83	45	35	82	54.88	42.68	12
GREENBUSH	Greenbush	Roseau	361	190	161	360	52.78	44.72	8
GRIMSTAD TOWNSHIP	Grimstad Twp	Roseau	75	47	26	75	62.67	34.67	28
HEREIM TOWNSHIP	Hereim Twp	Roseau	131	66	59	129	51.16	45.74	5
HUSS TOWNSHIP	Huss Twp	Roseau	68	42	24	67	62.69	35.82	27
JADIS TOWNSHIP	Jadis Twp	Roseau	301	195	99	300	65	33	32
JADIS UNORGANIZED	Jadis Unorganized	Roseau	10	4	6	10	40	60	-20
LAKE TOWNSHIP	Lake Twp	Roseau	854	557	280	853	65.3	32.83	32
LAONA TOWNSHIP	Laona Twp	Roseau	252	161	80	251	64.14	31.87	32
LIND TOWNSHIP	Lind Twp	Roseau	23	21	2	23	91.3	8.7	83
MALUNG TOWNSHIP	Malung Twp	Roseau	237	130	101	237	54.85	42.62	12
MICKINOCK TOWNSHIP	Mickinock Twp	Roseau	134	74	57	134	55.22	42.54	13
MOOSE TOWNSHIP	Moose Twp	Roseau	59	44	13	59	74.58	22.03	53
MORANVILLE TOWNSHIP	Moranville Twp	Roseau	459	318	121	454	70.04	26.65	43
NERESON TOWNSHIP	Nereson Twp	Roseau	22	15	6	21	71.43	28.57	43
NORLAND/SPRUCE VALLEY UNORGANIZED	North Roseau Unorganized	Roseau	75	42	29	74	56.76	39.19	18
JUNEBERRY/BLOOMING VALLEY UNORG	Northwest Roseau Unorganized	Roseau	12	6	6	12	50	50	0
PALMVILLE TOWNSHIP	Palmville Twp	Roseau	26	14	12	26	53.85	46.15	8
POHLITZ TOWNSHIP	Pohlitz Twp	Roseau	11	7	3	10	70	30	40
POLONIA TOWNSHIP	Polonia Twp	Roseau	20	10	10	20	50	50	0
POPLAR GROVE TOWNSHIP	Poplar Grove Twp	Roseau	52	26	25	52	50	48.08	2
REINE TOWNSHIP	Reine Twp	Roseau	51	19	28	48	39.58	58.33	-19
ROOSEVELT	Roosevelt	Roseau	58	38	16	58	65.52	27.59	38
ROSEAU	Roseau	Roseau	1292	724	540	1280	56.56	42.19	14
ROSS TOWNSHIP	Ross Twp	Roseau	183	108	68	182	59.34	37.36	22
SKAGEN TOWNSHIP	Skagen Twp	Roseau	111	77	30	110	70	27.27	43
SOLER TOWNSHIP	Soler Twp	Roseau	55	36	17	54	66.67	31.48	35
SPRUCE TOWNSHIP	Spruce Twp	Roseau	308	206	90	307	67.1	29.32	38
AMERICA/BELTRAMI ISLAND FOREST UNORG	America / Beltrami Island Unorganized	Roseau	31	18	12	31	58.06	38.71	19
STAFFORD TOWNSHIP	Stafford Twp	Roseau	143	79	59	143	55.24	41.26	14
STOKES TOWNSHIP	Stokes Twp	Roseau	105	58	41	103	56.31	39.81	17
STRATHCONA	Strathcona	Roseau	25	17	8	25	68	32	36
WARROAD	Warroad	Roseau	678	373	282	672	55.51	41.96	14
ALANGO TWP.	Alango Twp	St. Louis	141	57	78	140	40.71	55.71	-15
ALBORN TWP.	Alborn Twp	St. Louis	269	80	182	267	29.96	68.16	-38
ALDEN TWP.	Alden Twp	St. Louis	126	31	90	126	24.6	71.43	-47
ANGORA TWP.	Angora Twp	St. Louis	136	53	80	135	39.26	59.26	-20
ARROWHEAD TWP.	Arrowhead Twp	St. Louis	118	35	80	118	29.66	67.8	-38
AULT TWP.	Ault Twp	St. Louis	77	22	51	76	28.95	67.11	-38
UNORG. PRCT. 3	Linwood Lake Unorganized	St. Louis	49	10	33	44	22.73	75	-52
BABBITT	Babbitt	St. Louis	876	348	492	867	40.14	56.75	-17
BALKAN TWP.	Balkan Twp	St. Louis	503	175	318	501	34.93	63.47	-29
BASSETT TWP.	Bassett Twp	St. Louis	27	5	21	27	18.52	77.78	-59
BEATTY TWP.	Beatty Twp	St. Louis	330	166	161	329	50.46	48.94	2
BIWABIK	Biwabik	St. Louis	572	156	398	569	27.42	69.95	-43
BIWABIK TWP.	Biwabik Twp	St. Louis	583	233	334	580	40.17	57.59	-17
BREITUNG TWP.	Breitung Twp	St. Louis	423	180	228	420	42.86	54.29	-11
UNORG. PRCT. 22	Crab Lake Unorganized	St. Louis	7	4	3	7	57.14	42.86	14
BREVATOR TWP.	Brevator Twp	St. Louis	628	207	404	626	33.07	64.54	-31
BROOKSTON	Brookston	St. Louis	43	6	36	42	14.29	85.71	-71
BUHL	Buhl	St. Louis	513	163	321	508	32.09	63.19	-31
CANOSIA TWP.	Canosia Twp	St. Louis	1361	594	744	1358	43.74	54.79	-11
CEDAR VALLEY TWP.	Cedar Valley Twp	St. Louis	110	53	49	110	48.18	44.55	4
CHERRY TWP.	Cherry Twp	St. Louis	515	177	328	515	34.37	63.69	-29
CHISHOLM	Chisholm	St. Louis	2475	688	1702	2463	27.93	69.1	-41
CLINTON TWP.	Clinton Twp	St. Louis	543	187	342	541	34.57	63.22	-29
COLVIN TWP.	Colvin Twp	St. Louis	204	86	111	204	42.16	54.41	-12
COOK	Cook	St. Louis	321	116	190	315	36.83	60.32	-23
COTTON TWP.	Cotton Twp	St. Louis	301	112	180	301	37.21	59.8	-23
CRANE LAKE TWP.	Crane Lake Twp	St. Louis	85	54	29	84	64.29	34.52	30
CULVER TWP.	Culver Twp	St. Louis	143	32	107	143	22.38	74.83	-52
DULUTH P-1	Duluth	St. Louis	1398	455	907	1395	32.62	65.02	-32
DULUTH P-2	Duluth	St. Louis	1363	396	938	1359	29.14	69.02	-40
DULUTH P-3	Duluth	St. Louis	1648	552	1037	1641	33.64	63.19	-30
DULUTH P-4	Duluth	St. Louis	1474	519	922	1471	35.28	62.68	-27
DULUTH P-5	Duluth	St. Louis	1561	540	978	1556	34.7	62.85	-28
DULUTH P-6	Duluth	St. Louis	2517	837	1626	2504	33.43	64.94	-32
DULUTH P-7	Duluth	St. Louis	1655	544	1060	1645	33.07	64.44	-31
DULUTH P-8	Duluth	St. Louis	1806	713	1058	1799	39.63	58.81	-19
DULUTH P-9	Duluth	St. Louis	1131	395	702	1129	34.99	62.18	-27
DULUTH P-10	Duluth	St. Louis	1920	660	1169	1909	34.57	61.24	-27
DULUTH P-11	Duluth	St. Louis	2850	1047	1711	2835	36.93	60.35	-23
DULUTH P-12	Duluth	St. Louis	1626	410	1157	1619	25.32	71.46	-46
DULUTH P-13	Duluth	St. Louis	1601	360	1169	1591	22.63	73.48	-51
DULUTH P-14	Duluth	St. Louis	1632	308	1216	1624	18.97	74.88	-56
DULUTH P-15	Duluth	St. Louis	1755	396	1290	1745	22.69	73.93	-51
DULUTH P-16	Duluth	St. Louis	2167	646	1446	2154	29.99	67.13	-37
DULUTH P-17	Duluth	St. Louis	1330	231	1000	1314	17.58	76.1	-59
DULUTH P-18	Duluth	St. Louis	816	212	574	810	26.17	70.86	-45
DULUTH P-19	Duluth	St. Louis	728	129	551	721	17.89	76.42	-59
DULUTH P-20	Duluth	St. Louis	820	188	602	820	22.93	73.41	-50
DULUTH P-21	Duluth	St. Louis	1038	230	752	1030	22.33	73.01	-51
DULUTH P-22	Duluth	St. Louis	1472	470	956	1466	32.06	65.21	-33
DULUTH P-23	Duluth	St. Louis	1461	602	833	1452	41.46	57.37	-16
DULUTH P-24	Duluth	St. Louis	1599	552	1009	1594	34.63	63.3	-29
DULUTH P-25	Duluth	St. Louis	1495	558	881	1478	37.75	59.61	-22
DULUTH P-26	Duluth	St. Louis	1314	281	981	1309	21.47	74.94	-53
DULUTH P-27	Duluth	St. Louis	1149	274	819	1141	24.01	71.78	-48
DULUTH P-28	Duluth	St. Louis	659	142	495	656	21.65	75.46	-54
DULUTH P-29	Duluth	St. Louis	1529	411	1073	1519	27.06	70.64	-44
DULUTH P-30	Duluth	St. Louis	1389	345	1010	1385	24.91	72.92	-48
DULUTH P-31	Duluth	St. Louis	1042	287	737	1038	27.65	71	-43
DULUTH P-32	Duluth	St. Louis	1761	488	1234	1755	27.81	70.31	-42
DULUTH P-33	Duluth	St. Louis	927	264	645	925	28.54	69.73	-41
DULUTH P-34	Duluth	St. Louis	1579	400	1122	1572	25.45	71.37	-46
DULUTH TWP.	Duluth Twp	St. Louis	1265	504	734	1263	39.9	58.12	-18
'EAGLE''S NEST TWP.'	Eagles Nest Twp	St. Louis	186	82	100	184	44.57	54.35	-10
ELLSBURG TWP.	Ellsburg Twp	St. Louis	116	46	68	115	40	59.13	-19
ELMER TWP.	Elmer Twp	St. Louis	89	37	52	89	41.57	58.43	-17
ELY	Ely	St. Louis	2061	808	1148	2041	39.59	56.25	-17
EMBARRASS TWP.	Embarrass Twp	St. Louis	377	148	210	376	39.36	55.85	-16
EVELETH P-1	Eveleth	St. Louis	970	252	680	963	26.17	70.61	-44
EVELETH P-2	Eveleth	St. Louis	684	200	457	677	29.54	67.5	-38
EVELETH P-3	Eveleth	St. Louis	286	77	206	285	27.02	72.28	-45
FAIRBANKS TWP.	Fairbanks Twp	St. Louis	49	16	32	48	33.33	66.67	-33
FAYAL TWP.	Fayal Twp	St. Louis	1318	524	761	1310	40	58.09	-18
FIELD TWP.	Field Twp	St. Louis	218	83	122	217	38.25	56.22	-18
FINE LAKES TWP.	Fine Lakes Twp	St. Louis	75	46	27	75	61.33	36	25
FLOODWOOD P-1	Floodwood	St. Louis	233	56	168	228	24.56	73.68	-49
FLOODWOOD TWP. P-2	Floodwood Twp	St. Louis	135	53	78	134	39.55	58.21	-19
FREDENBERG TWP.	Fredenberg Twp	St. Louis	934	453	459	933	48.55	49.2	-1
FRENCH TWP.	French Twp	St. Louis	400	154	234	398	38.69	58.79	-20
GILBERT	Gilbert	St. Louis	1072	373	664	1067	34.96	62.23	-27
GNESEN TWP.	Gnesen Twp	St. Louis	1095	484	592	1093	44.28	54.16	-10
GRAND LAKE TWP.	Grand Lake Twp	St. Louis	1638	697	900	1629	42.79	55.25	-12
GREAT SCOTT TWP. P-1	Great Scott Twp	St. Louis	255	98	153	253	38.74	60.47	-22
KINNEY/GREAT SCOTT TWP P-2	Kinney	St. Louis	80	23	53	78	29.49	67.95	-38
GREENWOOD TWP.	Greenwood Twp	St. Louis	706	328	366	704	46.59	51.99	-5
HALDEN TWP.	Halden Twp	St. Louis	86	34	46	83	40.96	55.42	-14
UNORG. PRCT. 1	Potshot Lake Unorganized	St. Louis	40	17	21	39	43.59	53.85	-10
HERMANTOWN P-1	Hermantown	St. Louis	1737	688	1013	1732	39.72	58.49	-19
HERMANTOWN P-2	Hermantown	St. Louis	1450	578	843	1444	40.03	58.38	-18
HERMANTOWN P-3	Hermantown	St. Louis	2036	817	1168	2024	40.37	57.71	-17
HIBBING W-A P-1	Hibbing	St. Louis	362	90	263	360	25	73.06	-48
HIBBING W-A P-2	Hibbing	St. Louis	245	56	181	245	22.86	73.88	-51
HIBBING W-A P-3	Hibbing	St. Louis	577	197	361	570	34.56	63.33	-29
HIBBING W-A P-4	Hibbing	St. Louis	559	222	330	557	39.86	59.25	-19
HIBBING W-B P-5	Hibbing	St. Louis	1004	320	644	996	32.13	64.66	-33
HIBBING W-B P-6	Hibbing	St. Louis	460	168	282	459	36.6	61.44	-25
HIBBING W-B P-7	Hibbing	St. Louis	378	137	224	372	36.83	60.22	-23
HIBBING W-C P-8	Hibbing	St. Louis	542	210	321	540	38.89	59.44	-21
HIBBING W-C P-9	Hibbing	St. Louis	1117	363	708	1113	32.61	63.61	-31
HIBBING W-D P-10	Hibbing	St. Louis	1459	482	939	1454	33.15	64.58	-31
HIBBING W-E P-11	Hibbing	St. Louis	1833	618	1165	1826	33.84	63.8	-30
HOYT LAKES	Hoyt Lakes	St. Louis	1235	411	794	1233	33.33	64.4	-31
INDUSTRIAL TWP.	Industrial Twp	St. Louis	444	144	287	443	32.51	64.79	-32
IRON JUNCTION	Iron Junction	St. Louis	55	27	27	55	49.09	49.09	0
KELSEY TWP.	Kelsey Twp	St. Louis	90	30	60	90	33.33	66.67	-33
KUGLER TWP.	Kugler Twp	St. Louis	107	33	72	107	30.84	67.29	-36
LAKEWOOD TWP.	Lakewood Twp	St. Louis	1418	640	740	1414	45.26	52.33	-7
LAVELL TWP.	Lavell Twp	St. Louis	180	70	93	178	39.33	52.25	-13
LEIDING TWP.	Leiding Twp	St. Louis	239	119	108	229	51.97	47.16	5
LEONIDAS	Leonidas	St. Louis	34	5	29	34	14.71	85.29	-71
LINDEN GROVE TWP.	Linden Grove Twp	St. Louis	80	41	37	80	51.25	46.25	5
MCDAVITT TWP.	Mcdavitt Twp	St. Louis	285	100	179	282	35.46	63.48	-28
MCKINLEY	Mckinley	St. Louis	58	16	41	57	28.07	71.93	-44
MEADOWLANDS	Meadowlands	St. Louis	46	18	27	46	39.13	58.7	-20
MEADOWLANDS TWP	Meadowlands Twp	St. Louis	178	57	110	174	32.76	63.22	-30
MIDWAY TWP.	Midway Twp	St. Louis	889	303	563	880	34.43	63.98	-30
MORCOM TWP.	Morcom Twp	St. Louis	42	16	25	42	38.1	59.52	-21
MORSE TWP.	Morse Twp	St. Louis	869	366	475	863	42.41	55.04	-13
MOUNTAIN IRON P-1	Mountain Iron	St. Louis	841	258	553	836	30.86	66.15	-35
UNORG. PRCT. 24	Crab Lake Unorganized	St. Louis	48	17	30	48	35.42	62.5	-27
MOUNTAIN IRON P-2	Mountain Iron	St. Louis	884	315	536	881	35.75	60.84	-25
NESS TWP.	Ness Twp	St. Louis	41	18	23	41	43.9	56.1	-12
NEW INDEPENDENCE TWP	New Independence Twp	St. Louis	184	61	119	182	33.52	65.38	-32
NORMANNA TWP.	Normanna Twp	St. Louis	470	209	246	470	44.47	52.34	-8
NORTH STAR TWP.	North Star Twp	St. Louis	136	52	76	135	38.52	56.3	-18
NORTHLAND TWP.	Northland Twp	St. Louis	111	50	60	111	45.05	54.05	-9
UNORG. PRCT. 2	Whiteface Reservoir Unorg	St. Louis	217	77	133	213	36.15	62.44	-26
ORR	Orr	St. Louis	140	72	66	140	51.43	47.14	4
OWENS TWP.	Owens Twp	St. Louis	139	76	61	138	55.07	44.2	11
PEQUAYWAN TWP	Pequaywan Twp	St. Louis	105	47	55	105	44.76	52.38	-8
PIKE TWP.	Pike Twp	St. Louis	261	77	170	256	30.08	66.41	-36
UNORG. PRCT. 18	Hay Lake Unorganized	St. Louis	59	27	32	59	45.76	54.24	-8
PORTAGE TWP.	Portage Twp	St. Louis	103	51	47	103	49.51	45.63	4
PRAIRIE LAKE TWP	Prairie Lake Twp	St. Louis	29	7	20	29	24.14	68.97	-45
PROCTOR	Proctor	St. Louis	1768	525	1193	1764	29.76	67.63	-38
RICE LAKE TWP.	Rice Lake Twp	St. Louis	2451	894	1503	2448	36.52	61.4	-25
SANDY TWP.	Sandy Twp	St. Louis	224	78	140	223	34.98	62.78	-28
SOLWAY TWP.	Solway Twp	St. Louis	1191	455	715	1189	38.27	60.13	-22
STONEY BROOK TWP.	Stoney Brook Twp	St. Louis	153	39	108	151	25.83	71.52	-46
STURGEON TWP.	Sturgeon Twp	St. Louis	85	29	53	84	34.52	63.1	-29
TOIVOLA TWP.	Toivola Twp	St. Louis	105	41	60	104	39.42	57.69	-18
TOWER P-1	Tower	St. Louis	269	96	167	269	35.69	62.08	-26
TOWER P-2	Tower	St. Louis	0	0	0	0			
UNORG. PRCT. 4	Janette Lake Unorganized	St. Louis	154	42	99	143	29.37	69.23	-40
UNORG. PRCT. 5	Heikkila Lake Unorganized	St. Louis	167	57	104	164	34.76	63.41	-29
UNORG. PRCT. 14	Tikander Lake Unorg	St. Louis	458	220	225	458	48.03	49.13	-1
UNORG. PRCT. 6	Hush Lake Unorg	St. Louis	1	1	0	1	100	0	100
UNORG. PRCT. 7	Mccormack Lake Unorganized	St. Louis	148	61	77	145	42.07	53.1	-11
UNORG. PRCT. 15	Sand Lake Unorganized	St. Louis	621	300	303	618	48.54	49.03	0
UNORG. PRCT. 16	Leander Lake Unorg	St. Louis	83	32	51	83	38.55	61.45	-23
UNORG. PRCT. 8	Dark River Unorg	St. Louis	18	9	9	18	50	50	0
UNORG. PRCT. 9	Birch Lake Unorganized	St. Louis	283	111	157	274	40.51	57.3	-17
UNORG. PRCT. 20	Bear Head Lake Unorg	St. Louis	1	0	1	1	0	100	-100
UNORG. PRCT. 10	Pfeiffer Lake Unorganized	St. Louis	4	0	4	4	0	100	-100
UNORG. PRCT. 12	Gheen Unorganized	St. Louis	7	0	6	7	0	85.71	-86
UNORG. PRCT. 11	Sturgeon River Unorganized	St. Louis	57	26	28	57	45.61	49.12	-4
UNORG. PRCT. 13	Sturgeon River Unorganized	St. Louis	126	80	40	126	63.49	31.75	32
UNORG. PRCT. 19	Nett Lake Unorg	St. Louis	108	10	97	108	9.26	89.81	-81
UNORG. PRCT. 21	Northwest St. Louis Unorg	St. Louis	113	68	42	112	60.71	37.5	23
UNORG. PRCT. 23	Marion Lake Unorg	St. Louis	29	11	16	29	37.93	55.17	-17
CAMP 5 TWP.	Camp 5 Twp	St. Louis	19	14	5	19	73.68	26.32	47
VAN BUREN TWP.	Van Buren Twp	St. Louis	107	26	80	107	24.3	74.77	-50
VERMILION LAKE TWP.	Vermilion Lake Twp	St. Louis	209	86	118	205	41.95	57.56	-16
VIRGINIA P- 1	Virginia	St. Louis	1077	368	676	1074	34.26	62.94	-29
VIRGINIA P- 2	Virginia	St. Louis	913	367	512	907	40.46	56.45	-16
VIRGINIA P- 3	Virginia	St. Louis	765	211	511	758	27.84	67.41	-40
VIRGINIA P- 4	Virginia	St. Louis	852	306	514	847	36.13	60.68	-25
VIRGINIA P- 5	Virginia	St. Louis	1074	355	689	1071	33.15	64.33	-31
WAASA TWP.	Waasa Twp	St. Louis	149	48	94	147	32.65	63.95	-31
WHITE TWP. P-1	Aurora	St. Louis	940	287	626	938	30.6	66.74	-36
WHITE TWP. P-2	White Twp	St. Louis	454	179	252	449	39.87	56.12	-16
WHITE TWP. P-3	White Twp	St. Louis	438	180	248	437	41.19	56.75	-16
WILLOW VALLEY TWP.	Willow Valley Twp	St. Louis	65	36	23	64	56.25	35.94	20
WINTON	Winton	St. Louis	101	33	65	100	33	65	-32
WUORI TWP.	Wuori Twp	St. Louis	323	131	181	317	41.32	57.1	-16
UNORG. PRCT. 17	Heikkila Lake Unorganized	St. Louis	175	45	121	169	26.63	71.6	-45
KABETOGAMA TWP	Kabetogama Twp	St. Louis	101	53	46	100	53	46	7
BELLE PLAINE	Belle Plaine	Scott	3313	1850	1337	3292	56.2	40.61	16
BELLE PLAINE TWP.	Belle Plaine Twp	Scott	531	344	170	530	64.91	32.08	33
BLAKELEY TWP.	Blakeley Twp	Scott	259	177	77	259	68.34	29.73	39
CEDAR LAKE TWP.	Cedar Lake Twp	Scott	1683	1110	530	1681	66.03	31.53	35
CREDIT RIVER TWP.	Credit River Twp	Scott	3334	2240	1040	3325	67.37	31.28	36
ELKO NEW MARKET	Elko New Market	Scott	2110	1326	735	2104	63.02	34.93	28
HELENA TWP.	Helena Twp	Scott	961	626	305	954	65.62	31.97	34
JACKSON TWP.	Jackson Twp	Scott	589	318	254	587	54.17	43.27	11
JORDAN P-1	Jordan	Scott	1742	1001	678	1723	58.1	39.35	19
JORDAN P-2	Jordan	Scott	971	521	401	958	54.38	41.86	13
LOUISVILLE TWP.	Louisville Twp	Scott	779	505	258	776	65.08	33.25	32
NEW MARKET TWP.	New Market Twp	Scott	2229	1430	752	2222	64.36	33.84	31
NEW PRAGUE P-2	New Prague	Scott	2213	1190	962	2201	54.07	43.71	10
PRIOR LAKE P-1	Prior Lake	Scott	1583	916	640	1581	57.94	40.48	17
PRIOR LAKE P-2	Prior Lake	Scott	1186	626	526	1185	52.83	44.39	8
PRIOR LAKE P-3	Prior Lake	Scott	2269	1176	1026	2260	52.04	45.4	7
PRIOR LAKE P-4	Prior Lake	Scott	2183	1252	885	2179	57.46	40.61	17
PRIOR LAKE P-5	Prior Lake	Scott	2062	1268	758	2056	61.67	36.87	25
PRIOR LAKE P-6A	Prior Lake	Scott	1491	908	552	1490	60.94	37.05	24
PRIOR LAKE P-6B	Prior Lake	Scott	1212	715	459	1208	59.19	38	21
PRIOR LAKE P-7	Prior Lake	Scott	1716	992	687	1707	58.11	40.25	18
ST. LAWRENCE TWP.	St. Lawrence Twp	Scott	322	211	104	320	65.94	32.5	33
SAND CREEK TWP.	Sand Creek Twp	Scott	906	573	313	904	63.38	34.62	29
SAVAGE P-1	Savage	Scott	810	319	454	803	39.73	56.54	-17
SAVAGE P-2	Savage	Scott	2393	1122	1175	2368	47.38	49.62	-2
SAVAGE P-3	Savage	Scott	2188	1135	991	2180	52.06	45.46	7
SAVAGE P-4	Savage	Scott	2500	1354	1102	2493	54.31	44.2	10
SAVAGE P-5	Savage	Scott	1273	768	480	1269	60.52	37.83	23
SAVAGE P-6	Savage	Scott	2577	1408	1103	2562	54.96	43.05	12
SAVAGE P-7	Savage	Scott	2573	1435	1080	2565	55.95	42.11	14
SAVAGE P-8	Savage	Scott	1109	575	513	1102	52.18	46.55	6
SHAKOPEE P-1	Shakopee	Scott	1887	913	911	1874	48.72	48.61	0
SHAKOPEE P-2	Shakopee	Scott	1515	682	786	1509	45.2	52.09	-7
SHAKOPEE P-3	Shakopee	Scott	1352	615	693	1348	45.62	51.41	-6
SHAKOPEE P-4	Shakopee	Scott	1943	984	902	1933	50.91	46.66	4
SHAKOPEE P-5	Shakopee	Scott	1258	578	641	1249	46.28	51.32	-5
SHAKOPEE P-6	Shakopee	Scott	1929	965	902	1923	50.18	46.91	3
